Country,Time,GDP Growth
Moldova,2015,-0.338235324
Moldova,2016,4.408886724
Moldova,2017,4.69079339
Moldova,2018,4.301477742
Moldova,2019,3.683404261
Montenegro,2000,3.100000184
Montenegro,2001,1.099842719
Montenegro,2002,1.90393392
Montenegro,2003,2.482659361
Montenegro,2004,4.426052958
Montenegro,2005,4.180601527
Montenegro,2006,8.566419508
Montenegro,2007,6.810150125
Montenegro,2008,7.222752592
Montenegro,2009,-5.795096995
Montenegro,2010,2.734331082
Montenegro,2011,3.228451021
Montenegro,2012,-2.723790771
Montenegro,2013,3.548979912
Montenegro,2014,1.783698581
Montenegro,2015,3.390381397
Montenegro,2016,2.949280321
Montenegro,2017,4.716465276
Montenegro,2018,5.077888811
Montenegro,2019,4.062944992
Netherlands,2000,4.195642498
Netherlands,2001,2.326955087
Netherlands,2002,0.217273595
Netherlands,2003,0.155645898
Netherlands,2004,1.984945714
Netherlands,2005,2.050876108
Netherlands,2006,3.460988954
Netherlands,2007,3.772842521
Netherlands,2008,2.170324851
Netherlands,2009,-3.666883937
Netherlands,2010,1.342739336
Netherlands,2011,1.551189312
Netherlands,2012,-1.030353991
Netherlands,2013,-0.130175288
Netherlands,2014,1.423395395
Netherlands,2015,1.959169721
Netherlands,2016,2.191713719
Netherlands,2017,2.910902513
Netherlands,2018,2.360915095
Netherlands,2019,1.955588416
North Macedonia,2000,4.549135783
North Macedonia,2001,-3.067256625
North Macedonia,2002,1.493665472
North Macedonia,2003,2.222601657
North Macedonia,2004,4.67408958
North Macedonia,2005,4.724088642
North Macedonia,2006,5.137025162
North Macedonia,2007,6.473486858
North Macedonia,2008,5.47200139
North Macedonia,2009,-0.358614857
North Macedonia,2010,3.358750858
North Macedonia,2011,2.339886045
North Macedonia,2012,-0.456183224
North Macedonia,2013,2.925257665
North Macedonia,2014,3.629123513
North Macedonia,2015,3.85586514
North Macedonia,2016,2.848205194
North Macedonia,2017,1.081772738
North Macedonia,2018,2.88059671
North Macedonia,2019,3.910419538
Norway,2000,3.204979222
Norway,2001,2.074790394
Norway,2002,1.44625414
Norway,2003,0.910105664
Norway,2004,3.96941456
Norway,2005,2.625419938
Norway,2006,2.399828426
Norway,2007,2.994251851
Norway,2008,0.476379999
Norway,2009,-1.727020309
Norway,2010,0.701833824
Norway,2011,0.981434479
Norway,2012,2.703109471
Norway,2013,1.034072914
Norway,2014,1.969544301
Norway,2015,1.967128438
Norway,2016,1.071558977
Norway,2017,2.323258407
Norway,2018,1.118828827
Norway,2019,0.851897614
Poland,2000,4.561025896
Poland,2001,1.258478139
Poland,2002,2.035900052
Poland,2003,3.49839626
Poland,2004,4.982825593
Poland,2005,3.506849729
Poland,2006,6.131138073
Poland,2007,7.061543459
Poland,2008,4.19996859
Poland,2009,2.832178037
Poland,2010,3.740521281
Poland,2011,4.757635638
Poland,2012,1.324896305
Poland,2013,1.125763386
Poland,2014,3.378581715
Poland,2015,4.23632685
Poland,2016,3.141725778
Poland,2017,4.830656005
Poland,2018,5.353703355
Poland,2019,4.744950156
Portugal,2000,3.816178063
Portugal,2001,1.943672296
Portugal,2002,0.770924024
Portugal,2003,-0.930521193
