Sex,Age,Time,Value,agegroup
Men,35 to 39,2012,2008667,35
Men,35 to 39,2013,1975088,35
Men,35 to 39,2014,1988811,35
Men,35 to 39,2015,2029579,35
Men,35 to 39,2016,2080145,35
Men,35 to 39,2017,2126168,35
Men,35 to 39,2018,2167326,35
Men,35 to 39,2019,2173884,35
Men,35 to 39,2020,2179535,35
Women,40 to 44,2005,2331693,40
Women,40 to 44,2006,2363067,40
Women,40 to 44,2007,2386541,40
Women,40 to 44,2008,2381177,40
Women,40 to 44,2009,2373308,40
Women,40 to 44,2010,2348492,40
Women,40 to 44,2011,2338141,40
Women,40 to 44,2012,2313634,40
Women,40 to 44,2013,2274862,40
Women,40 to 44,2014,2219274,40
Women,40 to 44,2015,2170824,40
Women,40 to 44,2016,2105181,40
Women,40 to 44,2017,2045735,40
Women,40 to 44,2018,2011754,40
Women,40 to 44,2019,2022673,40
Women,40 to 44,2020,2059472,40
Men,40 to 44,2005,2284556,40
Men,40 to 44,2006,2312685,40
Men,40 to 44,2007,2333316,40
Men,40 to 44,2008,2335097,40
Men,40 to 44,2009,2329811,40
Men,40 to 44,2010,2298850,40
Men,40 to 44,2011,2281406,40
Men,40 to 44,2012,2253661,40
Men,40 to 44,2013,2221444,40
Men,40 to 44,2014,2171202,40
Men,40 to 44,2015,2128540,40
Men,40 to 44,2016,2068884,40
Men,40 to 44,2017,2013632,40
Men,40 to 44,2018,1981638,40
Men,40 to 44,2019,1996866,40
Men,40 to 44,2020,2032071,40
Women,45 to 49,2005,2040494,45
Women,45 to 49,2006,2096143,45
Women,45 to 49,2007,2154402,45
Women,45 to 49,2008,2212271,45
Women,45 to 49,2009,2269879,45
Women,45 to 49,2010,2322582,45
Women,45 to 49,2011,2355586,45
Women,45 to 49,2012,2372861,45
Women,45 to 49,2013,2375899,45
Women,45 to 49,2014,2369914,45
Women,45 to 49,2015,2348369,45
Women,45 to 49,2016,2342192,45
Women,45 to 49,2017,2319862,45
Women,45 to 49,2018,2284384,45
Women,45 to 49,2019,2229766,45
Women,45 to 49,2020,2177570,45
Men,45 to 49,2005,2011850,45
Men,45 to 49,2006,2069436,45
Men,45 to 49,2007,2117832,45
Men,45 to 49,2008,2168328,45
Men,45 to 49,2009,2221705,45
Men,45 to 49,2010,2272627,45
Men,45 to 49,2011,2299979,45
Men,45 to 49,2012,2312798,45
Men,45 to 49,2013,2310754,45
Men,45 to 49,2014,2302696,45
Men,45 to 49,2015,2282376,45
Men,45 to 49,2016,2276955,45
Men,45 to 49,2017,2255069,45
Men,45 to 49,2018,2223016,45
Men,45 to 49,2019,2172356,45
Men,45 to 49,2020,2126397,45
Women,50 to 54,2005,1852733,50
Women,50 to 54,2006,1863342,50
Women,50 to 54,2007,1890064,50
Women,50 to 54,2008,1927493,50
Women,50 to 54,2009,1968096,50
Women,50 to 54,2010,2018856,50
Women,50 to 54,2011,2078685,50
Women,50 to 54,2012,2137938,50
Women,50 to 54,2013,2194919,50
Women,50 to 54,2014,2255580,50
Women,50 to 54,2015,2313392,50
Women,50 to 54,2016,2350229,50
Women,50 to 54,2017,2369627,50
Women,50 to 54,2018,2374058,50
Women,50 to 54,2019,2368300,50
Women,50 to 54,2020,2346120,50
Men,50 to 54,2005,1820537,50
Men,50 to 54,2006,1829206,50
Men,50 to 54,2007,1856878,50
Men,50 to 54,2008,1897406,50
Men,50 to 54,2009,1939435,50
Men,50 to 54,2010,1988142,50
Men,50 to 54,2011,2041326,50
Men,50 to 54,2012,2097883,50
Men,50 to 54,2013,2149309,50
Men,50 to 54,2014,2202486,50
Men,50 to 54,2015,2251945,50
Men,50 to 54,2016,2281752,50
Men,50 to 54,2017,2298489,50
Men,50 to 54,2018,2300177,50
Men,50 to 54,2019,2292715,50
Men,50 to 54,2020,2269897,50
Women,55 to 59,2005,1978947,55
Women,55 to 59,2006,1984748,55
Women,55 to 59,2007,1899839,55
Women,55 to 59,2008,1846786,55
Women,55 to 59,2009,1829264,55
Women,55 to 59,2010,1819786,55
Women,55 to 59,2011,1832963,55
Women,55 to 59,2012,1864372,55
Women,55 to 59,2013,1901777,55
Women,55 to 59,2014,1945304,55
Women,55 to 59,2015,2000046,55
Women,55 to 59,2016,2059512,55
Women,55 to 59,2017,2120495,55
Women,55 to 59,2018,2179055,55
Women,55 to 59,2019,2238402,55
Women,55 to 59,2020,2294234,55
Men,55 to 59,2005,1936085,55
Men,55 to 59,2006,1939143,55
Men,55 to 59,2007,1849957,55
Men,55 to 59,2008,1800740,55
Men,55 to 59,2009,1782937,55
Men,55 to 59,2010,1775759,55
Men,55 to 59,2011,1789435,55
Men,55 to 59,2012,1819834,55
Men,55 to 59,2013,1854918,55
Men,55 to 59,2014,1897615,55
Men,55 to 59,2015,1950616,55
Men,55 to 59,2016,2007173,55
Men,55 to 59,2017,2063818,55
Men,55 to 59,2018,2114765,55
Men,55 to 59,2019,2167506,55
Men,55 to 59,2020,2216617,55
Women,60 to 64,2005,1590034,60
Women,60 to 64,2006,1653308,60
Women,60 to 64,2007,1785792,60
Women,60 to 64,2008,1862814,60
Women,60 to 64,2009,1898627,60
Women,60 to 64,2010,1923781,60
Women,60 to 64,2011,1933833,60
Women,60 to 64,2012,1848208,60
Women,60 to 64,2013,1806208,60
Women,60 to 64,2014,1792820,60
Women,60 to 64,2015,1787098,60
Women,60 to 64,2016,1802940,60
Women,60 to 64,2017,1835207,60
Women,60 to 64,2018,1873375,60
Women,60 to 64,2019,1915047,60
Women,60 to 64,2020,1967292,60
Men,60 to 64,2005,1528324,60
Men,60 to 64,2006,1593377,60
Men,60 to 64,2007,1720319,60
Men,60 to 64,2008,1796133,60
Men,60 to 64,2009,1830507,60
Men,60 to 64,2010,1855648,60
Men,60 to 64,2011,1863431,60
Men,60 to 64,2012,1776197,60
Men,60 to 64,2013,1734587,60
Men,60 to 64,2014,1718778,60
Men,60 to 64,2015,1714621,60
Men,60 to 64,2016,1731293,60
Men,60 to 64,2017,1763457,60
Men,60 to 64,2018,1799734,60
Men,60 to 64,2019,1840138,60
Men,60 to 64,2020,1888526,60
Women,65 to 69,2005,1407541,65
Women,65 to 69,2006,1393559,65
Women,65 to 69,2007,1397661,65
Women,65 to 69,2008,1428795,65
Women,65 to 69,2009,1472223,65
Women,65 to 69,2010,1517548,65
Women,65 to 69,2011,1582085,65
Women,65 to 69,2012,1719018,65
Women,65 to 69,2013,1793679,65
Women,65 to 69,2014,1830905,65
Women,65 to 69,2015,1859641,65
Women,65 to 69,2016,1872466,65
Women,65 to 69,2017,1791404,65
Women,65 to 69,2018,1751700,65
Women,65 to 69,2019,1738097,65
Women,65 to 69,2020,1730962,65
Men,65 to 69,2005,1302568,65
Men,65 to 69,2006,1292796,65
Men,65 to 69,2007,1298755,65
Men,65 to 69,2008,1329813,65
Men,65 to 69,2009,1376377,65
Men,65 to 69,2010,1425317,65
Men,65 to 69,2011,1491335,65
Men,65 to 69,2012,1626048,65
Men,65 to 69,2013,1697814,65
Men,65 to 69,2014,1730937,65
Men,65 to 69,2015,1754948,65
Men,65 to 69,2016,1764051,65
Men,65 to 69,2017,1682194,65
Men,65 to 69,2018,1644735,65
Men,65 to 69,2019,1630102,65
Men,65 to 69,2020,1624419,65
Women,70 to 74,2005,1253752,70
Women,70 to 74,2006,1249604,70
Women,70 to 74,2007,1255396,70
Women,70 to 74,2008,1273311,70
Women,70 to 74,2009,1292880,70
Women,70 to 74,2010,1302455,70
Women,70 to 74,2011,1294725,70
Women,70 to 74,2012,1305796,70
Women,70 to 74,2013,1337539,70
Women,70 to 74,2014,1383415,70
Women,70 to 74,2015,1428791,70
Women,70 to 74,2016,1491771,70
Women,70 to 74,2017,1623317,70
Women,70 to 74,2018,1695741,70
Women,70 to 74,2019,1731127,70
Women,70 to 74,2020,1757042,70
Men,70 to 74,2005,1079412,70
Men,70 to 74,2006,1087843,70
Men,70 to 74,2007,1102865,70
Men,70 to 74,2008,1126985,70
Men,70 to 74,2009,1150105,70
Men,70 to 74,2010,1163419,70
Men,70 to 74,2011,1158260,70
Men,70 to 74,2012,1170162,70
Men,70 to 74,2013,1201636,70
Men,70 to 74,2014,1250150,70
Men,70 to 74,2015,1296372,70
Men,70 to 74,2016,1360294,70
Men,70 to 74,2017,1487746,70
Men,70 to 74,2018,1555855,70
Men,70 to 74,2019,1587740,70
Men,70 to 74,2020,1606864,70
Women,75 to 79,2005,1104513,75
Women,75 to 79,2006,1106242,75
Women,75 to 79,2007,1107987,75
Women,75 to 79,2008,1107833,75
Women,75 to 79,2009,1103727,75
Women,75 to 79,2010,1103584,75
Women,75 to 79,2011,1107015,75
Women,75 to 79,2012,1118119,75
Women,75 to 79,2013,1137753,75
Women,75 to 79,2014,1160384,75
Women,75 to 79,2015,1170205,75
Women,75 to 79,2016,1165133,75
Women,75 to 79,2017,1175229,75
Women,75 to 79,2018,1204574,75
Women,75 to 79,2019,1248811,75
Women,75 to 79,2020,1289271,75
Men,75 to 79,2005,835292,75
Men,75 to 79,2006,847868,75
Men,75 to 79,2007,860974,75
Men,75 to 79,2008,872194,75
Men,75 to 79,2009,881129,75
Men,75 to 79,2010,895710,75
Men,75 to 79,2011,910082,75
Men,75 to 79,2012,928768,75
Men,75 to 79,2013,954342,75
Men,75 to 79,2014,979791,75
Men,75 to 79,2015,991844,75
Men,75 to 79,2016,989391,75
Men,75 to 79,2017,1001708,75
Men,75 to 79,2018,1030997,75
Men,75 to 79,2019,1076485,75
Men,75 to 79,2020,1114488,75
Women,80 to 84,2005,909010,80
Women,80 to 84,2006,888093,80
Women,80 to 84,2007,875508,80
Women,80 to 84,2008,868675,80
Women,80 to 84,2009,869003,80
Women,80 to 84,2010,877528,80
Women,80 to 84,2011,886682,80
Women,80 to 84,2012,896134,80
Women,80 to 84,2013,899028,80
Women,80 to 84,2014,902956,80
Women,80 to 84,2015,904614,80
Women,80 to 84,2016,912705,80
Women,80 to 84,2017,924352,80
Women,80 to 84,2018,942057,80
Women,80 to 84,2019,961986,80
Women,80 to 84,2020,967040,80
Men,80 to 84,2005,559381,80
Men,80 to 84,2006,561514,80
Men,80 to 84,2007,567500,80
Men,80 to 84,2008,576193,80
Men,80 to 84,2009,587480,80
Men,80 to 84,2010,603647,80
Men,80 to 84,2011,620544,80
Men,80 to 84,2012,637523,80
Men,80 to 84,2013,650873,80
Men,80 to 84,2014,665076,80
Men,80 to 84,2015,678895,80
Men,80 to 84,2016,694041,80
Men,80 to 84,2017,710769,80
Men,80 to 84,2018,731406,80
Men,80 to 84,2019,753342,80
Men,80 to 84,2020,759183,80
Women,85 and over,2005,820057,85
Women,85 and over,2006,857988,85
Women,85 and over,2007,886339,85
Women,85 and over,2008,903712,85
Women,85 and over,2009,917547,85
Women,85 and over,2010,934741,85
Women,85 and over,2011,950178,85
Women,85 and over,2012,962647,85
Women,85 and over,2013,967879,85
Women,85 and over,2014,989332,85
Women,85 and over,2015,995638,85
Women,85 and over,2016,1012015,85
Women,85 and over,2017,1021307,85
Women,85 and over,2018,1023246,85
Women,85 and over,2019,1040706,85
Women,85 and over,2020,1042140,85
Men,85 and over,2005,343422,85
Men,85 and over,2006,368746,85
Men,85 and over,2007,389990,85
Men,85 and over,2008,406117,85
Men,85 and over,2009,421337,85
Men,85 and over,2010,438778,85
Men,85 and over,2011,457280,85
Men,85 and over,2012,476731,85
Men,85 and over,2013,491298,85
Men,85 and over,2014,513875,85
Men,85 and over,2015,530219,85
Men,85 and over,2016,552218,85
Men,85 and over,2017,571296,85
Men,85 and over,2018,585246,85
Men,85 and over,2019,606565,85
Men,85 and over,2020,617229,85
