date,cntas,country,asset
2008-06-18,86949,Bank of England,113034
2008-06-11,93223,Bank of England,121190
2008-06-04,99994,Bank of England,129992
2008-05-28,93029,Bank of England,120938
2008-05-21,94366,Bank of England,122676
2008-05-14,95142,Bank of England,123685
2008-05-07,100916,Bank of England,131191
2008-04-30,92247,Bank of England,119921
2008-04-23,96747,Bank of England,125771
2008-04-16,99487,Bank of England,129333
2008-04-09,98497,Bank of England,128046
2008-04-02,100449,Bank of England,130584
2008-03-26,98805,Bank of England,128447
2008-03-19,102178,Bank of England,132831
2008-03-12,97228,Bank of England,126396
2008-03-05,105954,Bank of England,137740
2008-02-27,96452,Bank of England,125388
2008-02-20,97616,Bank of England,126901
2008-02-13,96310,Bank of England,125203
2008-02-06,95957,Bank of England,124744
2008-01-30,94098,Bank of England,122327
2008-01-23,102157,Bank of England,132804
2008-01-16,96586,Bank of England,125562
2008-01-09,101895,Bank of England,132464
2008-01-02,101034,Bank of England,131344
2007-12-26,102241,Bank of England,132913
2007-12-24,102241,Bank of England,132913
2007-12-19,107596,Bank of England,139875
2007-12-12,97279,Bank of England,126463
2007-12-05,96315,Bank of England,125210
2007-11-28,96810,Bank of England,125853
2007-11-21,97547,Bank of England,126811
2007-11-14,95862,Bank of England,124621
2007-11-07,93838,Bank of England,121989
2007-10-31,92533,Bank of England,120293
2007-10-24,95361,Bank of England,123969
2007-10-17,91678,Bank of England,119181
2007-10-10,89805,Bank of England,116747
2007-10-03,93622,Bank of England,121709
2007-09-26,98081,Bank of England,127505
2007-09-19,95034,Bank of England,123544
2007-09-12,83779,Bank of England,108913
2007-09-05,84220,Bank of England,109486
2007-08-29,83222,Bank of England,108189
2007-08-22,80087,Bank of England,104113
2007-08-15,81676,Bank of England,106179
2007-08-08,80845,Bank of England,105099
2007-08-01,81843,Bank of England,106396
2007-07-25,80275,Bank of England,104358
2007-07-18,80030,Bank of England,104039
2007-07-11,79980,Bank of England,103974
2007-07-04,99411,Bank of England,129234
2007-06-27,79737,Bank of England,103658
2007-06-20,81026,Bank of England,105334
2007-06-13,80543,Bank of England,104706
2007-06-06,80537,Bank of England,104698
2007-05-30,81865,Bank of England,106425
2007-05-23,79015,Bank of England,102720
2007-05-16,81369,Bank of England,105780
2007-05-09,79949,Bank of England,103934
2007-05-02,79416,Bank of England,103241
2007-04-25,79550,Bank of England,103415
2007-04-18,81088,Bank of England,105414
2007-04-11,80479,Bank of England,104623
2007-04-04,80386,Bank of England,104502
2007-03-28,79633,Bank of England,103523
2007-03-21,79539,Bank of England,103401
2007-03-14,80763,Bank of England,104992
2007-03-07,77747,Bank of England,101071
2007-02-28,77638,Bank of England,100929
2007-02-21,76991,Bank of England,100088
2007-02-14,77075,Bank of England,100198
2007-02-07,77808,Bank of England,101150
2007-01-31,78257,Bank of England,101734
2007-01-24,79313,Bank of England,103107
2007-01-17,79839,Bank of England,103791
2007-01-10,82957,Bank of England,107844
2007-01-03,85214,Bank of England,110778
2006-12-27,85593,Bank of England,111271
2006-12-20,84831,Bank of England,110280
2006-12-13,83548,Bank of England,108612
2006-12-06,82346,Bank of England,107050
2006-11-29,80280,Bank of England,104364
2006-11-22,78729,Bank of England,102348
2006-11-15,80371,Bank of England,104482
2006-11-08,80110,Bank of England,104143
2006-11-01,80264,Bank of England,104343
2006-10-25,78791,Bank of England,102428
2006-10-18,78184,Bank of England,101639
2006-10-11,79049,Bank of England,102764
2006-10-04,84488,Bank of England,109834
2006-09-27,79942,Bank of England,103925
2006-09-20,79593,Bank of England,103471
2006-09-13,79514,Bank of England,103368
2006-09-06,80898,Bank of England,105167
2006-08-30,81867,Bank of England,106427
2006-08-23,80860,Bank of England,105118
2006-08-16,79513,Bank of England,103367
2006-08-09,80059,Bank of England,104077
2006-08-02,81526,Bank of England,105984
2006-07-26,80985,Bank of England,105281
2006-07-19,79883,Bank of England,103848
2006-07-12,82409,Bank of England,107132
2006-07-05,83016,Bank of England,107921
2006-06-28,82185,Bank of England,106841
2006-06-21,82156,Bank of England,106803
2006-06-14,82549,Bank of England,107314
2006-06-07,87482,Bank of England,113727
2006-05-31,87174,Bank of England,113326
2006-05-24,86417,Bank of England,112342
2006-04-01,1222021,Bank of Japan,989837
2006-07-01,1155623,Bank of Japan,936055
2006-10-01,1164281,Bank of Japan,943068
2007-01-01,1150193,Bank of Japan,931656
2007-04-01,1045290,Bank of Japan,846685
2007-07-01,1098471,Bank of Japan,889762
2007-10-01,1100418,Bank of Japan,891339
2008-01-01,1135781,Bank of Japan,919983
2008-04-01,1062566,Bank of Japan,860678
2008-07-01,1102603,Bank of Japan,893108
2008-10-01,1203666,Bank of Japan,974969
2009-01-01,1218584,Bank of Japan,987053
2009-04-01,1144795,Bank of Japan,927284
2009-07-01,1160813,Bank of Japan,940259
2009-10-01,1170767,Bank of Japan,948321
2010-01-01,1236753,Bank of Japan,1001770
2010-04-01,1161312,Bank of Japan,940663
2010-07-01,1202491,Bank of Japan,974018
2010-10-01,1257244,Bank of Japan,1018368
2011-01-01,1334936,Bank of Japan,1081298
2011-04-01,1331086,Bank of Japan,1078180
2011-07-01,1378819,Bank of Japan,1116843
2011-10-01,1397378,Bank of Japan,1131876
2012-01-01,1402025,Bank of Japan,1135640
2012-04-01,1425446,Bank of Japan,1154611
2012-07-01,1484611,Bank of Japan,1202535
2012-10-01,1561507,Bank of Japan,1264821
2013-01-01,1627118,Bank of Japan,1317966
2013-04-01,1820153,Bank of Japan,1474324
2013-07-01,2037708,Bank of Japan,1650543
2013-10-01,2212642,Bank of Japan,1792240
2014-01-01,2380693,Bank of Japan,1928361
2014-04-01,2526369,Bank of Japan,2046359
2014-07-01,2739875,Bank of Japan,2219299
2014-10-01,2948081,Bank of Japan,2387946
2015-01-01,3184029,Bank of Japan,2579063
2015-04-01,3404661,Bank of Japan,2757775
2015-07-01,3606270,Bank of Japan,2921079
2015-10-01,3793052,Bank of Japan,3072372
2016-01-01,4019629,Bank of Japan,3255899
2016-04-01,4242815,Bank of Japan,3436680
2016-07-01,4509569,Bank of Japan,3652751
2016-10-01,4703404,Bank of Japan,3809757
2017-01-01,4866574,Bank of Japan,3941925
2017-04-01,5002185,Bank of Japan,4051770
2017-07-01,5101962,Bank of Japan,4132589
2017-10-01,5204407,Bank of Japan,4215570
2018-01-01,5293895,Bank of Japan,4288055
2018-04-01,5376238,Bank of Japan,4354753
2018-07-01,5476362,Bank of Japan,4435853
2018-10-01,5531302,Bank of Japan,4480355
2019-01-01,5586228,Bank of Japan,4524845
2019-04-01,5646862,Bank of Japan,4573958
2019-07-01,5702787,Bank of Japan,4619257
2019-10-01,5757518,Bank of Japan,4663590
2020-01-01,5892469,Bank of Japan,4772900
2020-04-01,6355230,Bank of Japan,5147736
2020-07-01,6796037,Bank of Japan,5504790
2020-10-01,7020393,Bank of Japan,5686518
2006-04-01,1084645,European Central Bank,1193110
2006-07-01,1112507,European Central Bank,1223757
2006-10-01,1126253,European Central Bank,1238878
2007-01-01,1142673,European Central Bank,1256941
2007-04-01,1176104,European Central Bank,1293715
2007-07-01,1212549,European Central Bank,1333804
2007-10-01,1308095,European Central Bank,1438904
2008-01-01,1341422,European Central Bank,1475564
2008-04-01,1415137,European Central Bank,1556651
2008-07-01,1449515,European Central Bank,1594467
2008-10-01,1973129,European Central Bank,2170442
2009-01-01,1907250,European Central Bank,2097975
2009-04-01,1801130,European Central Bank,1981243
2009-07-01,1835442,European Central Bank,2018987
2009-10-01,1789735,European Central Bank,1968709
2010-01-01,1883371,European Central Bank,2071708
2010-04-01,2031422,European Central Bank,2234565
2010-07-01,1980547,European Central Bank,2178602
2010-10-01,1907551,European Central Bank,2098306
2011-01-01,1957743,European Central Bank,2153517
2011-04-01,1900299,European Central Bank,2090328
2011-07-01,2058304,European Central Bank,2264135
2011-10-01,2430562,European Central Bank,2673618
2012-01-01,2799224,European Central Bank,3079146
2012-04-01,2996654,European Central Bank,3296320
2012-07-01,3080625,European Central Bank,3388687
2012-10-01,3037186,European Central Bank,3340905
2013-01-01,2777441,European Central Bank,3055186
2013-04-01,2575734,European Central Bank,2833308
2013-07-01,2374666,European Central Bank,2612133
2013-10-01,2305988,European Central Bank,2536587
2014-01-01,2195379,European Central Bank,2414917
2014-04-01,2158637,European Central Bank,2374500
2014-07-01,2033564,European Central Bank,2236921
2014-10-01,2054905,European Central Bank,2260396
2015-01-01,2169026,European Central Bank,2385928
2015-04-01,2400624,European Central Bank,2640686
2015-07-01,2550082,European Central Bank,2805091
2015-10-01,2688157,European Central Bank,2956972
2016-01-01,2828662,European Central Bank,3111528
2016-04-01,3033101,European Central Bank,3336412
2016-07-01,3314201,European Central Bank,3645621
2016-10-01,3559372,European Central Bank,3915309
2017-01-01,3803214,European Central Bank,4183535
2017-04-01,4181065,European Central Bank,4599171
2017-07-01,4270328,European Central Bank,4697361
2017-10-01,4413252,European Central Bank,4854578
2018-01-01,4505206,European Central Bank,4955727
2018-04-01,4562949,European Central Bank,5019243
2018-07-01,4616285,European Central Bank,5077914
2018-10-01,4644608,European Central Bank,5109069
2019-01-01,4694642,European Central Bank,5164107
2019-04-01,4691292,European Central Bank,5160422
2019-07-01,4676214,European Central Bank,5143835
2019-10-01,4692303,European Central Bank,5161533
2020-01-01,4727005,European Central Bank,5199706
2020-04-01,5519119,European Central Bank,6071030
2020-07-01,6404456,European Central Bank,7044902
2020-10-01,6846910,European Central Bank,7531601
